Stichtag;Diesel;Eurosuper;Normal;Super Plus;Heizöl Extraleicht: ab 2000 Liter;Heizöl Extraleicht: Tankstelle
29.12.2025;1,492;1,461;1,449;1,706;1,058;1,389
22.12.2025;1,498;1,471;1,459;1,717;1,06;1,389
15.12.2025;1,515;1,485;1,473;1,73;1,074;1,409
08.12.2025;1,526;1,487;1,475;1,728;1,093;1,409
01.12.2025;1,568;1,506;1,494;1,747;1,127;1,426
24.11.2025;1,595;1,539;1,527;1,779;1,165;1,426
17.11.2025;1,575;1,535;1,523;1,775;1,144;1,409
10.11.2025;1,575;1,522;1,51;1,76;1,131;1,409
03.11.2025;1,531;1,512;1,5;1,752;1,096;1,409
27.10.2025;1,532;1,515;1,503;1,748;1,085;1,409
20.10.2025;1,496;1,495;1,483;1,729;1,043;1,409
13.10.2025;1,509;1,503;1,491;1,742;1,073;1,409
06.10.2025;1,514;1,502;1,49;1,741;1,072;1,409
29.09.2025;1,518;1,512;1,5;1,745;1,088;1,409
22.09.2025;1,514;1,506;1,494;1,742;1,075;1,409
15.09.2025;1,515;1,51;1,498;1,746;1,066;1,409
08.09.2025;1,517;1,507;1,495;1,741;1,085;1,409
01.09.2025;1,508;1,501;1,489;1,738;1,061;1,409
25.08.2025;1,516;1,507;1,495;1,748;1,067;1,409
18.08.2025;1,508;1,498;1,486;1,739;1,071;1,409
11.08.2025;1,524;1,511;1,499;1,752;1,077;1,409
04.08.2025;1,555;1,533;1,521;1,774;1,108;1,409
28.07.2025;1,545;1,532;1,52;1,769;1,112;1,409
21.07.2025;1,557;1,526;1,514;1,766;1,13;1,409
14.07.2025;1,56;1,535;1,523;1,778;1,126;1,409
07.07.2025;1,542;1,526;1,514;1,762;1,12;1,409
30.06.2025;1,538;1,533;1,521;1,769;1,115;1,409
23.06.2025;1,582;1,556;1,544;1,79;1,153;1,409
16.06.2025;1,506;1,517;1,505;1,756;1,08;1,384
09.06.2025;1,472;1,49;1,478;1,725;1,028;1,384
02.06.2025;1,467;1,488;1,476;1,722;1,019;1,384
26.05.2025;1,476;1,494;1,482;1,728;1,023;1,384
19.05.2025;1,475;1,491;1,479;1,725;1,027;1,384
12.05.2025;1,465;1,476;1,464;1,706;1,013;1,384
05.05.2025;1,487;1,49;1,478;1,725;1,022;1,384
28.04.2025;1,492;1,492;1,48;1,72;1,04;1,384
21.04.2025;1,509;1,502;1,49;1,736;1,043;1,384
14.04.2025;1,508;1,508;1,496;1,735;1,048;1,384
07.04.2025;1,528;1,52;1,508;1,749;1,073;1,384
31.03.2025;1,54;1,518;1,506;1,75;1,139;1,384
24.03.2025;1,528;1,503;1,491;1,735;1,095;1,384
17.03.2025;1,518;1,488;1,476;1,722;1,101;1,384
10.03.2025;1,557;1,533;1,521;1,75;1,114;1,409
03.03.2025;1,586;1,557;1,545;1,791;1,147;1,409
24.02.2025;1,607;1,579;1,567;1,813;1,163;1,409
17.02.2025;1,6;1,578;1,566;1,811;1,16;1,409
10.02.2025;1,599;1,577;1,565;1,811;1,162;1,409
03.02.2025;1,596;1,569;1,557;1,798;1,17;1,409
27.01.2025;1,624;1,589;1,577;1,825;1,185;1,409
20.01.2025;1,63;1,597;1,585;1,827;1,2;1,409
13.01.2025;1,594;1,565;1,553;1,798;1,164;1,409
06.01.2025;1,594;1,552;1,54;1,783;1,147;1,409
