Stichtag;Diesel;Eurosuper;Normal;Super Plus;Heizöl Extraleicht: ab 2000 Liter;Heizöl Extraleicht: Tankstelle
05.01.2026;1,495;1,470;1,458;1,719;1,054;1,389
12.01.2026;1,477;1,453;1,441;1,699;1,049;1,389
19.01.2026;1,487;1,455;1,443;1,699;1,053;1,389
26.01.2026;1,509;1,480;1,468;1,725;1,060;1,389
02.02.2026;1,520;1,482;1,470;1,729;1,086;1,389
09.02.2026;1,529;1,485;1,473;1,730;1,078;1,389
16.02.2026;1,518;1,478;1,466;1,723;1,069;1,389
23.02.2026;1,546;1,509;1,497;1,751;1,099;1,389
02.03.2026;1,564;1,515;1,503;1,759;1,204;1,389
09.03.2026;1,898;1,708;1,696;1,960;1,625;1,389
16.03.2026;1,954;1,743;1,731;1,979;1,618;1,734
23.03.2026;2,109;1,841;1,829;2,080;1,738;1,799
30.03.2026;2,204;1,879;1,867;2,113;1,749;1,849
06.04.2026;2,228;1,787;1,775;2,039;1,836;1,824
13.04.2026;2,075;1,718;1,706;1,994;1,765;1,824
20.04.2026;1,948;1,691;1,679;1,979;1,669;1,824
27.04.2026;1,910;1,712;1,700;1,994;1,632;1,824
04.05.2026;1,999;1,793;1,781;2,081;1,654;1,824
11.05.2026;1,993;1,788;1,776;2,075;1,649;1,819
18.05.2026;1,987;1,782;1,770;2,069;1,644;1,813
25.05.2026;1,981;1,777;1,765;2,062;1,639;1,808
01.06.2026;1,975;1,771;1,760;2,056;1,634;1,802
08.06.2026;1,969;1,766;1,754;2,050;1,629;1,797
15.06.2026;1,963;1,761;1,749;2,044;1,624;1,791
22.06.2026;1,957;1,755;1,744;2,037;1,619;1,786
29.06.2026;1,951;1,750;1,738;2,031;1,614;1,780
06.07.2026;1,945;1,745;1,733;2,025;1,609;1,775
13.07.2026;1,939;1,739;1,728;2,019;1,604;1,769
20.07.2026;1,933;1,734;1,722;2,012;1,599;1,764
27.07.2026;1,927;1,728;1,717;2,006;1,594;1,758
03.08.2026;1,921;1,723;1,712;2,000;1,589;1,753
10.08.2026;1,915;1,718;1,706;1,994;1,585;1,747
17.08.2026;1,909;1,712;1,701;1,987;1,580;1,742
24.08.2026;1,909;1,712;1,701;1,987;1,580;1,742
31.08.2026;1,909;1,712;1,701;1,987;1,580;1,742
07.09.2026;1,909;1,712;1,701;1,987;1,580;1,742
14.09.2026;1,909;1,712;1,701;1,987;1,580;1,742
21.09.2026;1,909;1,712;1,701;1,987;1,580;1,742
28.09.2026;1,909;1,712;1,701;1,987;1,580;1,742
05.10.2026;1,909;1,712;1,701;1,987;1,580;1,742
12.10.2026;1,909;1,712;1,701;1,987;1,580;1,742
19.10.2026;1,909;1,712;1,701;1,987;1,580;1,742
26.10.2026;1,909;1,712;1,701;1,987;1,580;1,742
02.11.2026;1,909;1,712;1,701;1,987;1,580;1,742
09.11.2026;1,909;1,712;1,701;1,987;1,580;1,742
16.11.2026;1,909;1,712;1,701;1,987;1,580;1,742
23.11.2026;1,909;1,712;1,701;1,987;1,580;1,742
30.11.2026;1,909;1,712;1,701;1,987;1,580;1,742
07.12.2026;1,909;1,712;1,701;1,987;1,580;1,742
14.12.2026;1,909;1,712;1,701;1,987;1,580;1,742
21.12.2026;1,909;1,712;1,701;1,987;1,580;1,742
28.12.2026;1,909;1,712;1,701;1,987;1,580;1,742
